Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Shelf Life (days),Storage Condition,Quantity Sold (liters/kg),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg),Total Value,Price per Unit (sold),Approx. Total Revenue(INR),Production Date,Expiration Date
Delhi,200.61,54,Medium,2022-12-30,1,Curd,LocalFarm,883.92,25.07,24,Frozen,877,Bangalore,Retail,430,85,145,22159.8744,26.19645367878169,22974.289876291543,2022-12-29,2023-01-22
Mumbai,822.06,43,Small,2023-06-04,2,Paneer,Mother Dairy,707.8,14.31,56,Cold,508,Delhi,Online,224,56,178,10128.618,14.375823096681357,7302.918133114129,2023-06-02,2023-07-28
Kolkata,175.97,105,Medium,2020-05-10,4,Milk,Nestle,900.2,71.52,17,Frozen,111,Kolkata,Wholesale,377,33,67,64382.304,69.47136102154475,7711.3210733914675,2020-05-09,2020-05-26
Delhi,271.73,60,Small,2023-06-16,2,Curd,LocalFarm,697.41,20.91,57,Ambient,200,Kolkata,Retail,137,29,191,14582.8431,21.185325262598397,4237.06505251968,2023-06-15,2023-08-11
Chennai,480.7,115,Medium,2022-03-18,3,Cheese,Amul,468.38,15.16,20,Ambient,147,Bangalore,Retail,340,84,78,7100.6408,14.700391222716998,2160.9575097393986,2022-03-16,2022-04-05
Chennai,541.26,13,Large,2020-06-25,8,Curd,Amul,950.65,49.77,45,Cold,297,Delhi,Wholesale,200,83,90,47313.8505,49.22487267799357,14619.78718536409,2020-06-23,2020-08-07
Bangalore,775.43,117,Small,2020-09-26,9,Paneer,Amul,965.09,76.42,35,Ambient,461,Kolkata,Wholesale,374,60,87,73752.1778,77.9455752130523,35932.910173217104,2020-09-24,2020-10-29
Mumbai,474.97,48,Small,2023-02-14,6,Cheese,LocalFarm,348.47,79.2,43,Ambient,700,Kolkata,Retail,413,40,105,27598.824000000004,78.26035810974284,54782.25067681999,2023-02-12,2023-03-27
Chennai,800.37,93,Large,2022-09-11,4,Curd,Amul,386.68,88.61,39,Cold,278,Kolkata,Wholesale,431,88,41,34263.7148,88.47147128000137,24595.06901584038,2022-09-08,2022-10-17
Mumbai,637.43,33,Small,2021-07-27,2,Cheese,Nestle,413.58,27.93,24,Ambient,367,Kolkata,Wholesale,239,28,175,11551.2894,28.056391314665817,10296.695612482356,2021-07-24,2021-08-17
Chennai,157.44,97,Small,2021-11-18,7,Paneer,Amul,831.04,98.71,5,Ambient,594,Mumbai,Wholesale,24,28,35,82031.95839999999,97.12494111308145,57692.21502117038,2021-11-16,2021-11-21
Bangalore,198.51,64,Large,2022-07-06,10,Milk,Nestle,801.59,78.69,44,Frozen,503,Chennai,Online,216,37,124,63077.1171,75.35607050454792,37904.1034637876,2022-07-02,2022-08-15
Kolkata,465.18,35,Large,2020-11-28,7,Paneer,Amul,983.96,24.15,50,Frozen,853,Mumbai,Retail,368,88,118,23762.634,24.176317478627798,20622.39880926951,2020-11-24,2021-01-13
Bangalore,427.04,34,Medium,2019-03-16,10,Milk,Nestle,491.95,85.66,17,Frozen,321,Kolkata,Wholesale,279,81,117,42140.437,85.55560539508939,27463.349331823694,2019-03-13,2019-03-30
Delhi,756.37,45,Large,2023-04-30,9,Butter,LocalFarm,749.93,54.91,11,Frozen,231,Delhi,Wholesale,11,35,135,41178.656299999995,54.50636936037422,12590.971322246445,2023-04-29,2023-05-10
Chennai,601.7,80,Large,2023-05-24,5,Paneer,Nestle,863.88,15.99,49,Frozen,507,Mumbai,Retail,198,23,40,13813.4412,15.485491243382599,7851.144060394978,2023-05-22,2023-07-10
Delhi,418.73,83,Small,2020-05-12,10,Milk,LocalFarm,260.17,21.88,26,Frozen,773,Bangalore,Online,417,40,190,5692.5196000000005,20.900427941127766,16156.030798491764,2020-05-09,2020-06-04
Delhi,212.22,67,Large,2022-12-10,4,Butter,Mother Dairy,639.53,49.05,11,Frozen,503,Chennai,Retail,386,63,50,31368.9465,50.65216187326153,25478.03742225055,2022-12-06,2022-12-17
Mumbai,265.5,21,Small,2020-12-22,10,Butter,Nestle,570.32,57.75,24,Cold,667,Delhi,Wholesale,133,97,181,32935.98,57.93662812182756,38643.73095725898,2020-12-20,2021-01-13
Chennai,596.73,10,Large,2023-11-10,6,Butter,LocalFarm,755.69,95.27,56,Frozen,570,Mumbai,Wholesale,314,95,84,71994.5863,99.8457351055133,56912.06901014258,2023-11-09,2024-01-04
Delhi,452.27,59,Large,2022-09-25,2,Cheese,Mother Dairy,710.66,29.41,41,Ambient,482,Chennai,Retail,410,46,145,20900.510599999998,30.815279864240146,14852.964894563751,2022-09-24,2022-11-04
Kolkata,539.18,34,Medium,2019-11-04,2,Paneer,Amul,822.15,52.67,40,Cold,369,Mumbai,Online,82,53,38,43302.6405,53.09175189127258,19590.85644787958,2019-10-31,2019-12-10
Delhi,212.14,89,Large,2020-12-04,9,Paneer,Mother Dairy,345.59,30.33,8,Frozen,322,Bangalore,Retail,327,23,124,10481.7447,30.300041670140363,9756.613417785196,2020-11-30,2020-12-08
Kolkata,679.76,14,Large,2021-06-02,7,Paneer,Nestle,255.54,60.26,10,Frozen,437,Kolkata,Retail,35,70,147,15398.8404,58.370549368083374,25507.930073852436,2021-05-31,2021-06-10
Mumbai,859.91,92,Small,2023-06-27,7,Paneer,Mother Dairy,814.94,91.84,50,Ambient,87,Bangalore,Retail,316,21,67,74844.0896,90.73181921176905,7893.668271423908,2023-06-24,2023-08-13
Delhi,295.04,77,Small,2022-06-18,5,Cheese,Amul,392.54,61.1,7,Cold,76,Kolkata,Online,230,51,162,23984.194000000003,62.84398298804745,4776.142707091606,2022-06-16,2022-06-23
Bangalore,516.94,15,Medium,2019-09-10,7,Paneer,Mother Dairy,323.19,55.91,7,Ambient,489,Chennai,Retail,99,21,130,18069.5529,58.49988546863104,28606.44399416058,2019-09-08,2019-09-15
Mumbai,976.75,35,Large,2021-07-24,9,Milk,Nestle,369.98,77.51,7,Ambient,172,Mumbai,Retail,465,77,198,28677.149800000003,78.28376666991707,13464.807867225736,2021-07-23,2021-07-30
Kolkata,366.58,112,Small,2022-05-28,10,Butter,Nestle,113.04,23.29,40,Cold,220,Mumbai,Retail,198,41,191,2632.7016,23.562229640310285,5183.690520868263,2022-05-26,2022-07-05
Mumbai,615.29,64,Large,2020-02-01,5,Cheese,LocalFarm,784.49,91.51,58,Ambient,618,Bangalore,Wholesale,192,38,125,71788.6799,95.55892599076627,59055.416262293555,2020-01-29,2020-03-27
Delhi,135.69,48,Medium,2021-09-12,9,Cheese,Amul,729.4,61.99,13,Cold,849,Delhi,Online,388,39,130,45215.506,59.67741208176335,50666.12285741708,2021-09-10,2021-09-23
Chennai,625.71,18,Small,2022-09-21,1,Paneer,Amul,575.06,71.77,58,Ambient,58,Chennai,Wholesale,169,37,174,41272.05619999999,72.57267992051182,4209.215435389686,2022-09-17,2022-11-14
Chennai,135.15,54,Small,2023-10-19,3,Butter,Mother Dairy,730.28,83.71,20,Cold,531,Kolkata,Wholesale,141,69,65,61131.73879999999,84.42511440940928,44829.73575139632,2023-10-17,2023-11-06
Kolkata,961.27,23,Medium,2023-10-04,7,Milk,Amul,404.48,67.15,55,Frozen,267,Chennai,Retail,247,33,65,27160.832000000002,65.16971861970949,17400.314871462433,2023-09-30,2023-11-24
Kolkata,729.88,64,Large,2021-11-18,4,Butter,Nestle,330.6,67.71,20,Cold,133,Bangalore,Wholesale,320,39,170,22384.926,69.56400913887481,9252.01321547035,2021-11-17,2021-12-07
Chennai,798.75,18,Small,2020-05-08,2,Curd,Mother Dairy,869.19,75.67,16,Ambient,397,Mumbai,Retail,11,64,49,65771.6073,72.78850066016948,28897.03476208728,2020-05-07,2020-05-23
Kolkata,718.9,24,Small,2021-08-16,3,Butter,LocalFarm,451.33,14.7,42,Ambient,735,Kolkata,Retail,210,66,80,6634.5509999999995,14.05796582214546,10332.604879276914,2021-08-15,2021-09-26
Mumbai,610.24,46,Medium,2023-10-14,7,Milk,Mother Dairy,236.12,44.4,24,Frozen,737,Kolkata,Retail,385,76,45,10483.728,44.33844077998748,32677.430854850772,2023-10-13,2023-11-06
Bangalore,477.42,59,Medium,2023-03-06,8,Milk,Mother Dairy,761.59,96.66,57,Frozen,154,Kolkata,Wholesale,269,50,35,73615.2894,94.72410484035784,14587.512145415107,2023-03-03,2023-04-29
Bangalore,865.45,93,Medium,2022-03-23,9,Milk,LocalFarm,369.08,33.21,35,Frozen,882,Kolkata,Online,322,71,167,12257.1468,32.99790958948594,29104.156257926603,2022-03-22,2022-04-26
Mumbai,958.99,81,Large,2021-09-18,6,Cheese,Mother Dairy,251.26,58.8,34,Cold,793,Chennai,Retail,114,98,188,14774.087999999998,56.522029843382505,44821.969665802324,2021-09-16,2021-10-20
Bangalore,524.08,105,Large,2022-06-08,10,Cheese,Amul,75.85,25.79,25,Cold,142,Chennai,Online,354,65,175,1956.1714999999997,25.667245803610527,3644.7489041126946,2022-06-07,2022-07-02
Delhi,934.96,30,Large,2019-04-12,9,Curd,Mother Dairy,972.07,39.09,7,Cold,614,Bangalore,Online,460,26,125,37998.21630000001,38.85390966785252,23856.300536061448,2019-04-08,2019-04-15
Mumbai,604.17,66,Medium,2021-04-06,4,Butter,Mother Dairy,493.92,74.54,25,Cold,232,Mumbai,Wholesale,496,68,198,36816.796800000004,78.01765206219594,18100.095278429457,2021-04-02,2021-04-27
Kolkata,561.46,114,Small,2019-06-26,5,Paneer,Mother Dairy,203.67,67.88,32,Cold,806,Mumbai,Retail,322,42,135,13825.119599999998,69.39079904519491,55928.9840304271,2019-06-23,2019-07-25
Mumbai,481.76,28,Large,2023-09-13,1,Curd,Nestle,769.92,47.29,32,Ambient,521,Chennai,Wholesale,269,60,76,36409.5168,49.278416640794475,25674.055069853923,2023-09-10,2023-10-12
Chennai,248.82,102,Medium,2021-09-10,9,Paneer,Nestle,893.27,94.43,9,Ambient,194,Bangalore,Online,417,23,53,84351.48610000001,97.08569558685387,18834.624943849652,2021-09-09,2021-09-18
Kolkata,53.53,67,Large,2021-07-15,9,Paneer,Amul,551.57,79.75,11,Ambient,294,Delhi,Online,300,50,139,43987.707500000004,82.0455393357756,24121.388564718025,2021-07-14,2021-07-25
Chennai,279.43,104,Small,2019-08-20,9,Curd,LocalFarm,76.94,34.11,9,Cold,255,Kolkata,Online,136,66,122,2624.4233999999997,35.35750043573734,9016.162611113023,2019-08-16,2019-08-25
Kolkata,534.24,15,Small,2019-01-12,3,Butter,Nestle,396.89,51.89,13,Frozen,565,Mumbai,Retail,393,37,133,20594.6221,50.62332179943035,28602.176816678148,2019-01-11,2019-01-24
Bangalore,410.96,13,Medium,2022-04-24,10,Paneer,Nestle,280.95,89.02,51,Ambient,190,Kolkata,Retail,391,93,197,25010.168999999998,88.36760749224979,16789.84542352746,2022-04-23,2022-06-13
Mumbai,476.06,52,Small,2021-01-30,10,Cheese,Amul,654.58,12.02,25,Ambient,672,Mumbai,Wholesale,156,26,74,7868.0516,12.471001681206713,8380.513129770912,2021-01-28,2021-02-22
Delhi,981.62,102,Medium,2021-07-20,10,Cheese,Amul,542.91,62.33,24,Cold,439,Delhi,Online,60,57,112,33839.580299999994,59.63061414683741,26177.839610461622,2021-07-18,2021-08-11
Kolkata,382.76,51,Medium,2019-09-23,8,Curd,LocalFarm,387.95,30.88,42,Cold,556,Mumbai,Retail,437,64,30,11979.895999999999,29.506227775615937,16405.46264324246,2019-09-20,2019-11-01
Kolkata,479.57,12,Medium,2022-03-04,3,Paneer,Mother Dairy,666.08,15.74,44,Cold,116,Delhi,Online,422,47,56,10484.0992,15.972872780738983,1852.853242565722,2022-03-03,2022-04-16
Chennai,176.84,10,Medium,2021-01-26,6,Curd,Mother Dairy,605.21,92.16,56,Ambient,843,Mumbai,Retail,288,78,51,55776.1536,95.9344959299529,80872.78006895029,2021-01-25,2021-03-22
Bangalore,95.56,117,Small,2021-11-20,5,Cheese,LocalFarm,911.17,83.47,41,Frozen,40,Chennai,Wholesale,406,37,57,76055.3599,85.92570609656556,3437.0282438626227,2021-11-16,2021-12-27
Chennai,786.64,64,Small,2020-03-31,8,Curd,LocalFarm,616.96,26.68,21,Cold,309,Kolkata,Online,327,28,64,16460.4928,27.47776864165453,8490.63051027125,2020-03-29,2020-04-19
Chennai,592.15,24,Small,2019-09-16,3,Paneer,LocalFarm,532.33,85.33,46,Cold,641,Bangalore,Retail,382,35,32,45423.7189,84.13516672949717,53930.64187360769,2019-09-15,2019-10-31
Bangalore,772.67,56,Small,2022-02-01,1,Paneer,Amul,832.49,23.18,32,Frozen,812,Bangalore,Wholesale,167,81,195,19297.1182,23.39256155260572,18994.759980715844,2022-01-30,2022-03-03
Delhi,192.37,94,Medium,2020-03-06,9,Cheese,Mother Dairy,242.3,52.85,35,Frozen,101,Mumbai,Wholesale,357,59,73,12805.555,54.28481235887948,5482.766048246827,2020-03-03,2020-04-07
Chennai,593.24,55,Medium,2022-11-06,10,Milk,LocalFarm,281.39,75.32,37,Frozen,126,Bangalore,Retail,22,77,162,21194.294799999996,77.53245060924243,9769.088776764547,2022-11-02,2022-12-09
Chennai,290.96,67,Small,2020-04-13,9,Milk,LocalFarm,794.39,58.04,36,Cold,798,Kolkata,Wholesale,58,85,164,46106.395599999996,58.507705669617465,46689.149124354735,2020-04-10,2020-05-16
Kolkata,266.66,104,Large,2023-03-17,3,Butter,Mother Dairy,470.23,86.57,36,Cold,806,Chennai,Retail,433,88,199,40707.8111,89.17040277409451,71871.34463592018,2023-03-16,2023-04-21
Bangalore,60.95,80,Large,2022-05-15,2,Cheese,Mother Dairy,438.77,65.52,52,Ambient,708,Chennai,Online,355,38,127,28748.210399999996,62.42051543738319,44193.724929667296,2022-05-14,2022-07-05
Mumbai,173.82,90,Large,2020-10-08,4,Butter,Amul,892.72,48.88,27,Ambient,305,Delhi,Wholesale,447,97,140,43636.153600000005,51.043390558915895,15568.234120469348,2020-10-07,2020-11-03
Delhi,343.8,92,Small,2020-03-22,8,Cheese,Nestle,629.6,93.26,25,Ambient,640,Bangalore,Online,311,46,86,58716.49600000001,96.7160034379575,61898.2422002928,2020-03-20,2020-04-14
Delhi,161.03,48,Medium,2021-02-21,6,Paneer,Nestle,812.76,13.27,29,Ambient,569,Kolkata,Retail,170,49,114,10785.3252,12.675434069472642,7212.321985529933,2021-02-19,2021-03-20
Bangalore,986.57,12,Medium,2022-01-17,10,Cheese,Amul,819.35,53.96,37,Ambient,802,Bangalore,Online,382,64,186,44212.126000000004,53.5246836951285,42926.79632349306,2022-01-14,2022-02-20
Kolkata,343.2,39,Large,2019-07-14,1,Curd,Amul,164.03,69.47,7,Ambient,350,Kolkata,Wholesale,83,97,110,11395.1641,72.3841041639381,25334.436457378335,2019-07-12,2019-07-19
Kolkata,173.81,44,Large,2022-12-08,8,Butter,Mother Dairy,671.02,85.25,10,Cold,747,Delhi,Wholesale,247,50,193,57204.455,85.35907214050927,63763.226888960424,2022-12-07,2022-12-17
Bangalore,239.13,66,Medium,2022-02-19,5,Cheese,Amul,954.89,58.7,53,Ambient,847,Bangalore,Wholesale,313,55,197,56052.043000000005,56.301816376569874,47687.638470954684,2022-02-16,2022-04-10
Kolkata,608.32,38,Large,2020-04-06,6,Butter,Amul,506.03,89.7,32,Cold,151,Chennai,Wholesale,495,58,50,45390.890999999996,93.88469048097484,14176.588262627201,2020-04-02,2020-05-04
Delhi,110.84,59,Large,2022-02-13,5,Cheese,LocalFarm,745.57,48.36,58,Cold,358,Delhi,Retail,383,69,127,36055.7652,47.67567044401788,17067.890018958402,2022-02-12,2022-04-11
Delhi,869.31,71,Medium,2019-07-15,10,Milk,Amul,588.4,38.54,6,Frozen,240,Bangalore,Online,395,57,173,22676.935999999998,38.60261778656736,9264.628268776165,2019-07-13,2019-07-19
Mumbai,963.42,61,Large,2019-02-05,5,Butter,Amul,244.6,97.64,36,Cold,801,Chennai,Retail,419,30,166,23882.744,98.92840822300887,79241.6549866301,2019-02-03,2019-03-11
Bangalore,284.41,23,Large,2019-03-08,3,Paneer,LocalFarm,235.43,70.05,30,Cold,868,Chennai,Wholesale,456,93,32,16491.8715,72.3787181271722,62824.727334385476,2019-03-07,2019-04-06
Chennai,477.59,44,Small,2020-10-06,4,Paneer,Mother Dairy,462.14,48.32,9,Cold,795,Kolkata,Online,480,35,52,22330.6048,50.1229230366445,39847.723814132376,2020-10-05,2020-10-14
Chennai,71.03,37,Large,2022-07-28,5,Cheese,Mother Dairy,508.84,89.04,15,Frozen,96,Chennai,Wholesale,133,70,170,45307.113600000004,90.40311873655696,8678.699398709468,2022-07-25,2022-08-09
Mumbai,658.67,67,Small,2023-02-11,2,Paneer,Amul,527.98,71.48,14,Cold,746,Mumbai,Online,287,94,67,37740.01040000001,74.68529211129518,55715.227915026204,2023-02-07,2023-02-21
Mumbai,443.23,39,Medium,2021-10-31,6,Paneer,Amul,957.25,67.41,19,Frozen,624,Bangalore,Online,192,58,191,64528.222499999996,65.51590168270667,40881.922650008964,2021-10-29,2021-11-17
Kolkata,306.56,99,Small,2023-10-20,2,Butter,Nestle,145.24,75.57,22,Ambient,898,Bangalore,Wholesale,187,42,183,10975.7868,78.62933049152285,70609.13878138752,2023-10-18,2023-11-09
Mumbai,246.5,16,Medium,2019-11-18,4,Cheese,LocalFarm,411.5,76.45,53,Cold,670,Kolkata,Retail,437,84,189,31459.175000000003,74.08075909610882,49634.10859439291,2019-11-15,2020-01-07
Mumbai,671.32,48,Small,2023-08-19,1,Butter,Nestle,538.82,54.37,18,Ambient,611,Chennai,Wholesale,499,68,49,29295.6434,56.51457350186584,34530.404409640025,2023-08-16,2023-09-03
Chennai,445.41,104,Small,2019-08-28,4,Cheese,Amul,964.96,47.74,32,Cold,69,Kolkata,Online,151,80,75,46067.19040000001,46.38363301899449,3200.4706783106194,2019-08-24,2019-09-25
Kolkata,220.68,78,Small,2021-10-13,7,Paneer,Nestle,529.1,91.84,34,Frozen,767,Mumbai,Retail,156,73,131,48592.544,93.85358394872718,71985.69888867374,2021-10-09,2021-11-12
Mumbai,704.65,44,Large,2021-12-19,8,Cheese,Nestle,786.51,54.75,17,Ambient,362,Kolkata,Retail,7,32,84,43061.4225,56.485344713996504,20447.694786466735,2021-12-15,2022-01-01
Mumbai,586.82,61,Large,2020-10-11,2,Cheese,Mother Dairy,761.81,29.42,24,Cold,351,Bangalore,Retail,268,91,166,22412.4502,29.097934465108438,10213.374997253062,2020-10-09,2020-11-02
Kolkata,865.74,23,Large,2020-07-15,3,Curd,LocalFarm,588.12,56.94,6,Cold,313,Kolkata,Retail,62,43,80,33487.5528,54.73926027058072,17133.388464691765,2020-07-12,2020-07-18
Bangalore,161.6,72,Large,2023-08-30,1,Cheese,Mother Dairy,174.17,13.1,29,Frozen,171,Bangalore,Online,24,68,86,2281.627,12.919889862720128,2209.301166525142,2023-08-28,2023-09-26
Kolkata,796.38,45,Large,2019-06-14,7,Curd,Mother Dairy,257.82,75.1,48,Cold,114,Delhi,Online,156,56,109,19362.282,71.80779098793688,8186.088172624804,2019-06-12,2019-07-30
Chennai,689.84,100,Small,2021-04-10,4,Butter,Nestle,278.13,21.43,47,Ambient,697,Mumbai,Wholesale,186,45,195,5960.3259,21.771396570303406,15174.663409501474,2021-04-07,2021-05-24
Bangalore,159.26,33,Large,2019-07-08,10,Curd,LocalFarm,86.73,20.06,55,Frozen,400,Mumbai,Online,316,61,97,1739.8038,20.455524997179403,8182.209998871761,2019-07-04,2019-08-28
Delhi,710.08,49,Medium,2023-02-19,8,Butter,Amul,410.26,95.17,16,Ambient,459,Bangalore,Wholesale,87,22,169,39044.4442,92.96516344084749,42671.010019349,2023-02-16,2023-03-04
Kolkata,469.47,38,Small,2019-04-02,5,Cheese,LocalFarm,629.99,79.53,29,Ambient,340,Delhi,Online,124,80,146,50103.1047,80.73562602868965,27450.11284975448,2019-03-30,2019-04-28
Chennai,947.74,62,Small,2019-10-16,9,Butter,Mother Dairy,187.05,47.28,8,Cold,109,Chennai,Wholesale,474,62,167,8843.724,45.19263920051954,4925.99767285663,2019-10-14,2019-10-22
Bangalore,184.53,118,Medium,2023-03-13,6,Paneer,Nestle,216.28,31.56,46,Cold,548,Kolkata,Retail,242,92,94,6825.7968,30.081520460088782,16484.67321212865,2023-03-10,2023-04-25
Kolkata,660.69,31,Large,2022-01-03,10,Cheese,Amul,721.64,85.91,16,Frozen,887,Chennai,Retail,25,84,41,61996.092399999994,85.1197008445063,75501.17464907709,2022-01-01,2022-01-17
Mumbai,412.88,81,Medium,2023-04-30,2,Curd,Mother Dairy,210.79,97.17,11,Frozen,760,Delhi,Online,83,37,80,20482.4643,97.01882764463302,73734.3090099211,2023-04-26,2023-05-07
Kolkata,958.97,24,Small,2022-12-22,1,Milk,Nestle,178.57,55.75,59,Frozen,302,Mumbai,Retail,195,86,93,9955.2775,53.066256826451884,16026.00956158847,2022-12-18,2023-02-15
Delhi,363.48,78,Small,2022-11-09,1,Cheese,Mother Dairy,978.95,62.21,42,Ambient,364,Chennai,Wholesale,277,33,122,60900.4795,62.76936343182225,22848.048289183298,2022-11-08,2022-12-20
Kolkata,964.08,73,Small,2021-12-12,9,Paneer,Nestle,64.0,31.87,44,Ambient,753,Delhi,Wholesale,134,83,48,2039.68,32.93049194236404,24796.660432600125,2021-12-09,2022-01-22
Bangalore,906.41,13,Medium,2019-06-24,1,Butter,LocalFarm,359.14,63.03,36,Ambient,252,Mumbai,Retail,440,51,187,22636.5942,62.465944974599715,15741.418133599129,2019-06-20,2019-07-26
Bangalore,306.86,84,Large,2023-08-24,3,Curd,Mother Dairy,83.19,46.05,47,Ambient,812,Chennai,Retail,317,87,111,3830.8994999999995,47.187669405111286,38316.387556950365,2023-08-22,2023-10-08
Kolkata,813.36,27,Small,2023-05-22,2,Curd,LocalFarm,846.15,86.1,10,Cold,889,Mumbai,Retail,377,79,53,72853.515,83.09618387126929,73872.5074615584,2023-05-20,2023-05-30
Bangalore,995.82,51,Large,2020-04-18,4,Paneer,LocalFarm,604.36,43.94,57,Frozen,371,Bangalore,Online,117,40,55,26555.5784,44.06999837999644,16349.96939897868,2020-04-16,2020-06-12
Mumbai,290.03,39,Small,2022-10-16,1,Paneer,Nestle,95.55,68.39,31,Cold,735,Mumbai,Wholesale,401,46,65,6534.6645,70.36752729519084,51720.13256196527,2022-10-12,2022-11-12
Kolkata,464.94,24,Large,2019-09-27,1,Cheese,Amul,634.59,28.31,39,Cold,452,Mumbai,Online,265,24,136,17965.2429,28.82535744034672,13029.061563036717,2019-09-24,2019-11-02
Mumbai,544.17,79,Medium,2020-02-11,4,Milk,LocalFarm,166.94,18.16,25,Ambient,333,Delhi,Online,286,86,85,3031.6304,18.66784668653274,6216.392946615402,2020-02-08,2020-03-04
Mumbai,330.18,64,Small,2022-02-21,4,Milk,Mother Dairy,520.95,13.63,24,Frozen,399,Delhi,Wholesale,25,60,87,7100.548500000001,13.931407392745909,5558.6315497056175,2022-02-17,2022-03-13
Chennai,64.5,62,Small,2020-11-24,7,Butter,Mother Dairy,685.94,47.41,23,Ambient,276,Kolkata,Wholesale,182,21,61,32520.4154,45.613293414187964,12589.268982315878,2020-11-20,2020-12-13
Kolkata,259.12,25,Small,2020-01-11,8,Curd,Nestle,191.08,24.72,37,Ambient,416,Delhi,Wholesale,238,62,31,4723.4976,23.737796670894742,9874.923415092213,2020-01-10,2020-02-16
Bangalore,317.84,113,Medium,2022-11-16,8,Cheese,LocalFarm,522.2,99.41,8,Frozen,808,Bangalore,Online,108,20,111,51911.902,104.13737364071206,84142.99790169534,2022-11-13,2022-11-21
Mumbai,471.42,82,Medium,2019-07-01,8,Curd,Amul,484.54,81.85,23,Frozen,276,Bangalore,Wholesale,89,42,112,39659.599,81.70518031270417,22550.629766306352,2019-06-30,2019-07-23
Chennai,212.55,116,Large,2019-02-05,9,Cheese,Amul,919.96,72.4,56,Cold,178,Mumbai,Retail,381,82,151,66605.104,74.08254462384659,13186.692943044693,2019-02-04,2019-04-01
Kolkata,879.59,43,Medium,2022-05-20,1,Paneer,Mother Dairy,995.92,82.3,53,Ambient,848,Delhi,Wholesale,280,67,84,81964.216,83.79403594265291,71057.34247936968,2022-05-19,2022-07-11
Kolkata,719.67,36,Small,2019-05-14,9,Butter,Nestle,671.75,33.65,32,Ambient,790,Kolkata,Online,119,44,41,22604.3875,32.11654950091813,25372.074105725325,2019-05-13,2019-06-14
Delhi,130.94,22,Large,2021-05-14,10,Paneer,LocalFarm,862.12,89.13,26,Ambient,222,Delhi,Retail,179,86,192,76840.75559999999,89.10011456812133,19780.225434122935,2021-05-11,2021-06-06
Delhi,667.59,109,Medium,2021-07-12,8,Curd,Mother Dairy,664.54,99.61,55,Frozen,432,Kolkata,Retail,17,96,146,66194.8294,99.82288574667471,43123.486642563475,2021-07-11,2021-09-04
Mumbai,670.97,36,Large,2020-11-20,1,Butter,Nestle,882.47,36.09,28,Ambient,707,Mumbai,Online,151,66,103,31848.342300000004,37.203703724905616,26303.01853350827,2020-11-17,2020-12-15
Delhi,958.41,82,Large,2023-08-29,7,Cheese,Amul,461.61,98.62,50,Ambient,101,Bangalore,Online,107,75,179,45523.978200000005,103.17801046808871,10420.97905727696,2023-08-25,2023-10-14
Mumbai,52.87,78,Large,2020-05-05,9,Cheese,Mother Dairy,627.59,38.84,34,Ambient,465,Delhi,Wholesale,142,78,39,24375.595600000004,38.02214684160297,17680.298281345382,2020-05-02,2020-06-05
Bangalore,285.54,95,Small,2021-04-20,4,Butter,Nestle,852.91,11.06,33,Ambient,44,Delhi,Retail,383,35,79,9433.1846,10.572088589103421,465.1718979205505,2021-04-16,2021-05-19
Mumbai,931.4,40,Small,2021-09-14,9,Paneer,Amul,922.18,43.05,14,Cold,37,Bangalore,Wholesale,263,66,192,39699.848999999995,42.94368467225409,1588.9163328734014,2021-09-11,2021-09-25
Delhi,935.53,12,Medium,2023-01-01,1,Butter,Nestle,73.45,99.78,57,Frozen,516,Bangalore,Retail,42,73,173,7328.841,95.08881864454266,49065.83042058401,2022-12-29,2023-02-24
Bangalore,734.56,39,Small,2021-04-18,9,Paneer,Mother Dairy,148.76,67.16,36,Cold,815,Chennai,Online,216,66,65,9990.721599999999,66.39047389260507,54108.23622247313,2021-04-15,2021-05-21
Delhi,777.48,30,Large,2021-12-05,6,Butter,LocalFarm,934.61,72.59,13,Frozen,791,Chennai,Retail,482,71,90,67843.3399,70.94410006461233,56116.78315110835,2021-12-03,2021-12-16
Mumbai,136.91,108,Large,2020-10-29,4,Paneer,Nestle,590.08,31.45,29,Ambient,135,Chennai,Retail,23,37,104,18558.016,30.641657035687196,4136.623699817771,2020-10-26,2020-11-24
Chennai,538.18,15,Small,2022-11-25,5,Milk,LocalFarm,990.68,23.13,20,Frozen,168,Bangalore,Retail,493,65,46,22914.428399999997,21.977226297489615,3692.1740179782555,2022-11-21,2022-12-11
Kolkata,270.0,101,Large,2023-02-20,7,Butter,Mother Dairy,803.0,89.7,19,Cold,345,Chennai,Wholesale,249,45,118,72029.1,87.46312991730612,30174.779821470613,2023-02-17,2023-03-08
Delhi,222.16,41,Small,2021-10-16,10,Paneer,Amul,827.23,47.21,52,Ambient,40,Delhi,Retail,487,37,158,39053.5283,46.35982965834662,1854.3931863338648,2021-10-15,2021-12-06
Mumbai,819.79,51,Large,2020-03-07,4,Curd,Nestle,416.82,10.37,22,Cold,625,Bangalore,Wholesale,372,68,41,4322.4234,10.796244691140279,6747.652931962674,2020-03-03,2020-03-25
Bangalore,178.29,110,Medium,2022-12-22,8,Curd,Amul,294.66,36.48,57,Cold,167,Delhi,Retail,101,84,32,10749.1968,34.97796171597205,5841.319606567333,2022-12-21,2023-02-16
